"Latest: Time (s)","Latest: Potential (mV)","Latest: Z-Axis Acceleration 1 (m/s²)","Latest: Z-Axis Acceleration 2 (m/s²)","Latest: Z-Axis Acceleration 3 (m/s²)"
0,5.01558861695,9.2091901059,9.11496513951,9.03897600219
0.0002,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0004,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0006,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0008,4.66237815097,9.15753469511,9.11496513951,9.01485128052
0.001,4.66237815097,9.15753469511,9.11496513951,9.01485128052
0.0012,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0014,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0016,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0018,4.66237815097,9.15753469511,9.11496513951,9.01485128052
0.002,4.66237815097,9.15753469511,9.11496513951,9.01485128052
0.0022,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0024,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0026,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0028,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.003,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0032,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0034,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0036,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0038,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.004,4.66237815097,9.2091901059,9.11496513951,9.01485128052
0.0042,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0044,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0046,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0048,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.005,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0052,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0054,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0056,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0058,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.006,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0062,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0064,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0066,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0068,4.66237815097,9.2091901059,9.11496513951,9.03897600219
0.007,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0072,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0074,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0076,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0078,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.008,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0082,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0084,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0086,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0088,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.009,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0092,4.66237815097,9.2091901059,9.13943880433,9.03897600219
0.0094,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0096,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0098,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.01,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0102,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0104,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0106,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0108,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.011,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0112,4.66237815097,9.18336240051,9.11496513951,9.01485128052
0.0114,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0116,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0118,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.012,4.66237815097,9.18336240051,9.13943880433,9.01485128052
0.0122,4.66237815097,9.18336240051,9.11496513951,9.03897600219
0.0124,4.66237815097,9.18336240051,9.13943880433,9.03897600219
0.0126,4.66237815097,9.18336240051,9.11496513951,9.01485128052
