"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-75.7757045278,-71.7436159102,-72.6734292464,-46.5713472618,10.1724614203
0.0002,-77.1021027351,-73.5775889843,-74.4730760434,-48.8757037499,10.5492192507
0.0004,-78.2202235379,-75.0753336615,-75.8689559308,-49.083225535,10.9259770811
0.0006,-79.230917048,-76.3097386152,-77.0433408278,-49.323172599,10.9259770811
0.0008,-79.9302906482,-77.4712548955,-78.0723696374,-52.6932399208,10.9259770811
0.001,-80.6274718547,-78.3318114918,-78.95373512,-58.0931297026,10.9259770811
0.0012,-81.1514539564,-79.0795082066,-79.650521444,-62.6305070653,11.3027349114
0.0014,-81.6052794587,-79.71434504,-80.2388675122,-66.413456272,11.3027349114
0.0016,-81.9889483617,-80.2386732394,-80.7510746775,-69.4052286731,11.3027349114
0.0018,-82.1292615605,-80.7253814783,-81.1917574189,-71.8825199822,10.9259770811
0.002,-82.5480087631,-81.0616098752,-81.5586084967,-72.6045228593,10.9259770811
0.0022,-82.7562861676,-81.3625695591,-81.8539351506,-71.9516939105,10.5492192507
0.0024,-82.9316776661,-81.6611779956,-82.1100387332,-69.9910453788,10.1724614203
0.0026,-83.0697984711,-81.8868977585,-82.3315337236,-65.9335621441,9.79570358992
0.0028,-83.0697984711,-82.110266274,-82.3315337236,-58.2984898024,9.41894575953
0.003,-83.315346569,-82.2231261554,-78.8060717931,-48.8757037499,9.04218792915
0.0032,-83.4205814681,-80.1281646054,-71.7574551715,-40.0733213674,8.66543009877
0.0034,-83.4556597678,-74.3629056597,-61.0357132924,-31.4417121204,8.28867226839
0.0036,-83.4885456738,-63.3990384231,-48.6619879432,-24.1157607711,7.93546180241
0.0038,-83.4556597678,-49.5901616741,-32.9473798221,-17.8230949765,7.18194614165
0.004,-83.4885456738,-34.8454884079,-17.7472861059,-13.2835559285,6.80518831126
0.0042,-83.4885456738,-20.4017748256,-4.71369026447,-8.64241767325,6.42843048088
0.0044,-83.4885456738,-6.81626659207,6.40951128473,-0.73281130346,5.67491482012
0.0046,-83.4885456738,4.74716876488,15.590017189,9.3428036978,5.67491482012
0.0048,-83.4885456738,14.2908824928,23.1162323836,19.2130585993,5.29815698974
0.005,-83.4885456738,22.148751741,29.3942310178,26.9497301482,4.54464132898
0.0052,-83.4885456738,28.6593561541,34.7170325059,33.3807437995,4.16788349859
0.0054,-83.4885456738,34.1236554159,39.1976915825,38.5731117963,4.16788349859
0.0056,-83.4885456738,38.6897781209,42.8315937688,42.2544617957,3.43791520223
0.0058,-79.5466217452,42.618712745,46.0617290455,44.2475356063,3.06115737185
0.006,-69.9834002902,45.7999506543,48.7058254934,45.0732993759,3.06115737185
0.0062,-54.2770916007,48.5321002852,51.0199866952,45.3478334041,2.68439954147
0.0064,-35.3611184888,50.8151616377,52.8173262527,45.1078863401,2.68439954147
0.0066,-18.1552124872,52.7972633063,54.4716169623,46.0352493171,2.30764171109
0.0068,-3.84545860434,54.3702479044,55.8282737785,47.3084819358,1.9308838807
0.007,8.19516776683,55.7904014131,57.004965915,49.4744905672,2.30764171109
0.0072,17.8965100269,56.9142977329,57.9947716533,51.3313782064,1.9308838807
0.0074,25.714586072,57.8877142107,58.8023054725,53.2228528097,1.9308838807
0.0076,32.065950711,58.748270807,59.4644832042,54.8397933849,1.9308838807
0.0078,37.544742645,59.4207276008,60.0874378647,56.0438520752,1.9308838807
0.008,41.9426844695,60.0202957212,60.5650364378,57.1095629089,1.9308838807
0.0082,45.5382101885,60.5446239206,61.0057191791,57.9353266786,1.9308838807
0.0084,48.6097538058,60.993712199,61.3356544252,57.9699136427,1.9308838807
0.0086,51.0520804222,61.3675605564,61.6678969108,57.9699136427,1.9308838807
0.0088,53.1808947351,61.6285490323,61.9240004935,57.9699136427,1.9308838807
0.009,54.8558835457,61.9295087163,62.1801040761,57.9699136427,1.9308838807
0.0092,56.3225949518,62.1528772317,62.3646832348,57.9699136427,1.9308838807
0.0094,57.5788365597,62.3409770342,62.5838709857,57.9699136427,2.30764171109
0.0096,58.5566441638,62.4162169552,62.6946184809,57.9699136427,2.30764171109
0.0098,59.394138569,62.6395854706,62.6946184809,57.9699136427,2.30764171109
0.01,59.4292168687,62.0776373107,60.8580558521,54.0832035436,2.30764171109
0.0102,59.4292168687,61.7037889533,58.6200335533,45.6915413606,2.30764171109
0.0104,59.4292168687,62.0023973897,56.232040688,36.1325691367,2.30764171109
0.0106,59.4292168687,61.8166488348,55.4245068689,22.7906477061,2.30764171109
0.0108,59.4292168687,62.0023973897,56.4535356784,9.82485951099,2.68439954147
0.011,59.4292168687,62.2281171527,57.1134061707,3.46301978803,3.06115737185
0.0112,59.4292168687,62.4162169552,56.1236004323,-1.96929527272,3.06115737185
0.0114,59.4292168687,62.6019655101,57.2979853294,-6.7855300341,3.43791520223
0.0116,59.4292168687,62.7148253916,58.3616227312,-7.7820669394,3.81467303261
0.0118,59.4292168687,62.8276852731,59.2060723821,-1.69476124458,3.81467303261
0.012,59.4292168687,62.938193907,59.9051659455,9.37739066198,4.16788349859
0.0122,59.4292168687,62.9758138675,60.4173731108,19.3168194918,4.16788349859
0.0124,59.4292168687,63.0510537885,60.8949716839,27.1918388974,4.92139915936
0.0126,59.4292168687,63.1262937095,61.2987385935,33.6552778276,4.92139915936
0.0128,59.4292168687,63.1262937095,61.6309810791,38.7806335813,5.29815698974
0.013,59.4292168687,63.2015336305,61.8870846617,43.011051637,5.29815698974
0.0132,59.4292168687,63.2015336305,62.1801040761,46.4827181661,5.67491482012
0.0134,59.4292168687,63.239153591,62.3646832348,49.3037174316,5.67491482012
0.0136,59.4292168687,63.314393512,62.5838709857,51.5734869556,6.0516726505
0.0138,59.4292168687,63.314393512,62.6207868174,53.3612006664,6.42843048088
0.014,59.4292168687,63.16391367,60.4173731108,52.9137318174,6.80518831126
0.0142,55.4149439471,60.4317640391,53.9571025575,49.3383043958,6.80518831126
0.0144,39.4652795534,54.5936164199,43.419939837,43.3893465577,6.80518831126
0.0146,22.3295301512,45.8375706148,30.4578684196,34.1373336408,6.80518831126
0.0148,4.00550334671,36.6300852838,17.0943373321,22.5139519927,7.18194614165
0.015,-11.4201789453,26.3410260886,3.14246017631,9.6194994112,7.18194614165
0.0152,-24.0549440176,15.2243277626,-10.5533133968,-3.17335396307,7.55870397203
0.0154,-34.4183891844,3.73613232659,-22.1910293508,-15.3825523169,7.55870397203
0.0156,-42.90076053,-7.11487502849,-32.0314057473,-26.7292382516,7.93546180241
0.0158,-49.8813421698,-17.5943852737,-40.0721353467,-36.7724279739,7.93546180241
0.016,-55.603489808,-27.5495673195,-46.9361728097,-44.5782734512,7.93546180241
0.0162,-60.3851005355,-36.4184730061,-52.5543009516,-47.3971110315,7.93546180241
0.0164,-64.3642951574,-43.6391541734,-57.4018111061,-46.5367602976,7.93546180241
0.0166,-67.6791944788,-47.981908363,-60.4473672241,-42.5830379553,7.93546180241
0.0168,-70.4372257926,-52.0613228291,-60.8880499654,-38.0089119432,7.55870397203
0.017,-72.6361967048,-53.1076279804,-56.7396333744,-32.2328889259,7.55870397203
0.0172,-74.5194629199,-51.1631462723,-51.5621879738,-23.9795745997,7.55870397203
0.0174,-76.1615658244,-46.6346435278,-44.183636106,-14.2130805907,7.18194614165
0.0176,-77.4178074324,-38.6262944376,-36.4728417527,-4.23906479671,6.80518831126
0.0178,-78.4986575418,-30.7660739418,-28.5797754802,5.04537339904,6.80518831126
0.018,-79.4063085465,-19.3531184268,-21.3834955316,14.5027464157,6.80518831126
0.0182,-80.1736463523,-9.58603618346,-15.6546198945,22.3777658213,6.80518831126
0.0184,-80.6976284541,-1.83867556916,-8.45833994594,27.5009598897,6.0516726505
0.0186,-81.2917671552,4.10998068401,-1.26205999739,30.5273192551,6.0516726505
0.0188,-81.7105143578,8.18939515011,3.4354795907,31.1455612397,5.67491482012
0.019,-82.0591049611,10.4348365421,4.501424232,30.6980923907,5.29815698974
0.0192,-82.3726172646,8.30225503159,1.67505586491,29.8744903062,5.29815698974
0.0194,-82.4076955643,4.48618028895,-2.87943487521,27.5701338181,4.92139915936
0.0196,-82.826442767,-2.43824368954,-9.33970542857,22.2394179646,4.54464132898
0.0198,-82.9667559658,-10.1479843433,-15.5830954705,14.8464543722,4.16788349859
0.02,-83.1048767708,-19.3907383873,-23.9906761478,7.21138203051,3.81467303261
0.0202,-82.1643398602,-28.7087323522,-32.1029301712,-1.55857507314,3.43791520223
0.0204,-78.70912734,-36.2679931641,-40.2544072659,-10.9446124762,3.06115737185
0.0206,-73.1930647125,-42.5928490222,-47.0469203049,-20.2982246003,2.68439954147
0.0208,-66.4580311706,-47.831428521,-52.2243657055,-29.1027686681,2.30764171109
0.021,-58.1510513235,-51.7603631451,-54.4646952438,-36.9086141454,2.30764171109
0.0212,-48.9386128655,-54.6053726575,-54.6838829947,-42.9267459118,1.9308838807
0.0214,-39.2701565113,-55.8773975717,-54.2062844217,-45.8493443846,1.55412605032
0.0216,-27.7535122419,-55.5411691748,-53.5833297612,-46.1584653769,1.17736821994
0.0218,-13.4086800594,-53.8200559822,-51.2322527276,-44.0616306738,0.80061038956
0.022,-0.111812080286,-49.7030215556,-45.9463670713,-39.5220916258,0.80061038956
0.0222,11.0913198856,-43.3781656975,-38.4547604689,-32.4728359899,0.80061038956
0.0224,20.2708724377,-35.9317647672,-28.8358790628,-24.3924564845,0.423852559179
0.0226,27.6000446807,-26.6866594757,-18.4832955011,-15.6224993808,0.423852559179
0.0228,33.7409395215,-17.1829169558,-7.50545003932,-6.37264814926,0.0470947287977
0.023,38.906219152,-7.67682318838,3.47239542243,2.43189591856,0.0470947287977
0.0232,42.8854137739,1.56593085558,13.1281926602,10.3760892525,0.0470947287977
0.0234,46.5489036986,9.38853139087,21.2058380914,16.9432890753,0.0470947287977
0.0236,49.342013312,15.9367557644,27.8876036352,22.2740049288,0.0470947287977
0.0238,51.714183329,19.8656903885,33.3603756897,26.1931403069,0.0470947287977
0.024,52.8673824316,21.3634350657,36.0021648981,28.1883758027,0.0470947287977
0.0242,50.1093511179,19.8656903885,36.5535951346,28.1192018744,0.0470947287977
0.0244,42.501744871,15.8991358039,34.6801166741,26.3660751277,-0.306115737185
0.0246,33.3221923189,11.6339727829,32.8458612849,24.0617186396,0.0470947287977
0.0248,24.6666218685,5.94395375811,29.6872504322,21.1045332026,0.0470947287977
0.025,18.6287695331,2.01501913398,26.6047784824,17.1508108603,0.0470947287977
0.0252,15.1735570129,-1.54006713274,22.9685690567,11.3380391937,0.0470947287977
0.0254,13.3604473973,-4.15935688216,18.4533013878,3.53219371638,0.0470947287977
0.0256,12.4527963926,-7.71444314887,13.7903703919,-4.92864239495,0.0470947287977
0.0258,14.0927069035,-12.3181858144,8.2829897452,-12.2870190232,0.0470947287977
0.026,18.001744926,-17.8177537891,2.29801052541,-18.3397377538,0.0470947287977
0.0262,23.2021028562,-23.4701528534,-4.49450251355,-21.9151651755,0.0470947287977
0.0264,28.6107381908,-29.867897385,-11.2870155525,-22.7409289451,0.0470947287977
0.0266,32.8683668165,-34.4716400505,-17.0874156136,-20.6765195209,0.0470947287977
0.0268,34.9621028297,-37.5776380388,-22.0802818556,-17.6847471198,0.423852559179
0.027,33.8461744206,-39.4116111129,-24.9435660544,-15.3133783885,0.0470947287977
0.0272,30.0774495969,-39.8983193518,-25.9356790323,-14.3492667621,0.0470947287977
0.0274,24.353109565,-38.6639143981,-25.4949962909,-14.7275616828,0.0470947287977
0.0276,15.3489485114,-36.6418415215,-24.4682747209,-16.9627442426,0.0470947287977
0.0278,4.59964204783,-33.7615632961,-22.6686279238,-20.0928645005,0.0470947287977
0.028,-6.42809841956,-30.6555653078,-20.2460264663,-21.9151651755,0.0470947287977
0.0282,-17.0743623778,-27.511947359,-17.8949494328,-21.6060441831,0.0470947287977
0.0284,-26.8458612372,-25.0031662436,-15.5830954705,-18.9925667027,0.0470947287977
0.0286,-35.187919384,-23.2068131299,-14.0764680879,-14.6605494397,0.0470947287977
0.0288,-42.1663086301,-23.021064575,-13.3058501004,-10.2917835274,0.0470947287977
0.029,-47.5420580588,-22.8329647725,-13.4904292591,-6.43966039235,0.0470947287977
0.0292,-53.0559282925,-24.1802296077,-13.9657205927,-3.96453076857,0.0470947287977
0.0294,-58.2562862226,-25.040786204,-14.7386458196,-2.86423297075,0.0470947287977
0.0296,-62.5840714478,-26.0894426028,-15.2139371532,-2.41676412174,0.0470947287977
0.0298,-66.2146754665,-26.6866594757,-16.0237782118,-2.55511197844,0.0470947287977
0.03,-69.0406709859,-26.9123792386,-16.5729012089,-3.31170181977,0.0470947287977
0.0302,-71.6583891008,-27.1733677146,-17.380435028,-4.34282568924,0.0470947287977
0.0304,-73.6819685146,-28.2220241133,-18.702483252,-5.47771045123,0.0470947287977
0.0306,-75.4621922242,-29.9055173455,-21.0166444538,-7.23083719786,0.0470947287977
0.0308,-76.8587470309,-32.8633867393,-24.798209967,-9.91348860669,0.0470947287977
0.031,-77.9045188407,-37.0909297999,-29.2765618041,-13.5256646777,0.0470947287977
0.0312,-78.1500669385,-41.8428010598,-34.3063438778,-17.239439956,0.0470947287977
0.0314,-77.347650833,-46.7827721222,-39.0431065371,-19.8529174365,0.0470947287977
0.0316,-76.2996866295,-51.2736549063,-43.009251209,-21.3660971192,0.0470947287977
0.0318,-74.8702459168,-54.4548928156,-45.983282903,-21.8459912471,0.0470947287977
0.032,-72.0771363034,-56.2136259687,-48.2213052019,-22.3280470603,0.0470947287977
0.0322,-69.4944964882,-57.5608908039,-49.654100921,-23.4629318223,0.0470947287977
0.0324,-67.6090378794,-58.2733188057,-50.976149145,-24.9761115049,0.0470947287977
0.0326,-67.5739595797,-59.0962554415,-52.0397865468,-26.6946512874,0.0470947287977
0.0328,-68.9705143865,-60.0696719193,-53.5094980977,-28.6207128549,0.0470947287977
0.033,-70.9612078943,-61.2664569126,-54.0955369265,-29.7210106527,0.0470947287977
0.0332,-73.1251005069,-62.1270135089,-54.8315463217,-29.6194114455,0.0470947287977
0.0334,-75.0083667219,-61.9389137064,-54.4646952438,-28.7936476758,0.0470947287977
0.0336,-76.5803130271,-60.8173686342,-53.5094980977,-26.9367600366,0.0470947287977
0.0338,-77.836554635,-59.5453437199,-51.5621879738,-24.0811738069,0.0470947287977
0.034,-78.8823264447,-56.963673931,-49.7279325845,-21.6060441831,0.0470947287977
0.0342,-79.7899774494,-54.6053726575,-47.8175382923,-20.2982246003,0.0470947287977
0.0344,-80.4542727499,-52.583299781,-46.202470654,-20.196625393,0.0470947287977
0.0346,-81.0462190573,-51.5369946297,-44.8435065983,-20.4019854928,0.0470947287977
0.0348,-81.4298879603,-50.227349755,-43.6322058695,-19.9891036079,0.0470947287977
0.035,-81.953870062,-49.2163133167,-42.6770087234,-18.8888058101,0.0470947287977
0.0352,-82.2673823655,-48.092416997,-41.5395396581,-17.1010920993,0.0470947287977
0.0354,-82.5129304634,-47.2318604006,-40.584342512,-14.8659095395,0.0470947287977
0.0356,-82.7212078679,-46.2607951704,-39.6314526054,-12.8360870795,0.0470947287977
0.0358,-82.826442767,-45.2873786926,-39.1907698641,-11.4612552535,0.0470947287977
0.036,-83.0697984711,-44.9135303352,-38.7870029545,-10.9446124762,0.0470947287977
0.0362,-83.1750333702,-44.8006704537,-39.0431065371,-11.3229073968,0.0470947287977
0.0364,-82.6861295682,-44.3892021358,-39.2276856958,-12.2870190232,0.0470947287977
0.0366,-81.570201159,-44.1634823728,-39.7768086928,-13.5926769208,0.0470947287977
0.0368,-79.71982085,-43.5662655,-39.887556188,-14.7275616828,0.0470947287977
0.037,-76.8938253306,-42.8538374981,-39.7398928611,-14.6605494397,0.0470947287977
0.0372,-73.2982996116,-41.6194325444,-39.2992101198,-14.1093196982,0.0470947287977
0.0374,-69.5295747879,-40.0840679067,-39.3730417833,-13.83478567,0.0470947287977
0.0376,-65.550380166,-38.5134345561,-39.1538540323,-14.2130805907,0.0470947287977
0.0378,-61.2576732405,-37.3166495629,-39.6314526054,-15.0712696393,0.0470947287977
0.038,-57.8024607203,-35.7436649647,-39.9613878515,-15.9662073373,0.0470947287977
0.0382,-55.2548992047,-34.283540248,-40.1090511784,-16.344502258,0.0470947287977
0.0384,-53.1962414912,-32.9010066998,-39.5576209419,-15.6224993808,0.0470947287977
0.0386,-50.613601676,-30.7284539813,-38.5285921324,-14.1093196982,0.0470947287977
0.0388,-47.4719014594,-27.8481757559,-36.8766086623,-12.3907799157,0.0470947287977
0.039,-44.3652795424,-24.5916979256,-34.8946899461,-10.8084263047,0.0470947287977
0.0392,-41.3638925245,-20.7380032225,-32.8389395664,-9.4314327935,0.0470947287977
