"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
-0.02,0.0470249506179,-0.0299941132835,-0.00438478746219,-0.0151317968266,0.141284186393
-0.0198,0.0470249506179,0.00692171845003,0.135928411328,-0.0151317968266,0.518042016774
-0.0196,0.00940499012358,0.00692171845003,-0.00438478746219,-0.0151317968266,0.141284186393
-0.0194,0.00940499012358,-0.0299941132835,-0.0394630871597,-0.0151317968266,0.141284186393
-0.0192,-0.0282149703708,0.0438375501835,-0.0394630871597,-0.0151317968266,0.518042016774
-0.019,0.00940499012358,0.00692171845003,-0.00438478746219,-0.0151317968266,0.518042016774
-0.0188,0.00940499012358,0.0784461424337,-0.0394630871597,-0.0151317968266,0.141284186393
-0.0186,0.00940499012358,0.00692171845003,-0.00438478746219,-0.0497187610017,0.518042016774
-0.0184,0.00940499012358,0.00692171845003,-0.0745413868572,-0.0151317968266,0.518042016774
-0.0182,0.00940499012358,0.00692171845003,-0.00438478746219,0.0194551673485,0.141284186393
-0.018,0.0470249506179,0.0438375501835,-0.0394630871597,-0.0151317968266,0.141284186393
-0.0178,0.00940499012358,-0.0299941132835,-0.00438478746219,-0.0151317968266,0.141284186393
-0.0176,0.0470249506179,0.00692171845003,-0.00438478746219,-0.0151317968266,0.141284186393
-0.0174,0.00940499012358,-0.0299941132835,0.135928411328,-0.0151317968266,0.518042016774
-0.0172,0.0470249506179,0.00692171845003,-0.00438478746219,0.0194551673485,0.141284186393
-0.017,0.0470249506179,-0.0299941132835,-0.0394630871597,0.0194551673485,0.141284186393
-0.0168,0.00940499012358,0.00692171845003,0.0306935122353,-0.0151317968266,0.518042016774
-0.0166,0.00940499012358,0.00692171845003,0.0657718119328,-0.0151317968266,0.141284186393
-0.0164,0.00940499012358,-0.0299941132835,-0.00438478746219,-0.0151317968266,0.141284186393
-0.0162,0.0470249506179,0.00692171845003,0.0657718119328,-0.0497187610017,0.518042016774
-0.016,0.0470249506179,0.00692171845003,-0.0745413868572,-0.0151317968266,0.141284186393
-0.0158,-0.0282149703708,0.00692171845003,-0.00438478746219,0.0194551673485,0.141284186393
-0.0156,0.00940499012358,0.00692171845003,-0.0394630871597,-0.0151317968266,0.518042016774
-0.0154,0.00940499012358,-0.0299941132835,-0.00438478746219,0.0194551673485,0.141284186393
-0.0152,0.00940499012358,0.00692171845003,-0.00438478746219,-0.0151317968266,0.141284186393
-0.015,-0.0282149703708,-0.0299941132835,0.135928411328,-0.0151317968266,0.141284186393
-0.0148,0.00940499012358,0.00692171845003,0.0306935122353,0.0194551673485,0.518042016774
-0.0146,-0.0282149703708,0.0438375501835,-0.0394630871597,0.0194551673485,0.141284186393
-0.0144,0.00940499012358,0.00692171845003,-0.0394630871597,-0.0151317968266,0.518042016774
-0.0142,0.0470249506179,0.00692171845003,-0.00438478746219,0.0194551673485,0.518042016774
-0.014,0.0470249506179,-0.0299941132835,-0.0394630871597,0.0194551673485,0.141284186393
-0.0138,0.0470249506179,0.115361974167,-0.00438478746219,-0.0151317968266,0.518042016774
-0.0136,0.0470249506179,0.00692171845003,-0.0745413868572,0.0194551673485,0.518042016774
-0.0134,0.0470249506179,0.0438375501835,-0.00438478746219,0.0194551673485,0.141284186393
-0.0132,0.0470249506179,-0.0299941132835,-0.0394630871597,-0.0151317968266,0.141284186393
