Latest: Time (s),Latest: Z-Axis Acceleration (m/s²),Latest: Potential (mV)
0,-45.11924285,10.10181933
0.0002,-38.90862055,11.23209282
0.0004,-33.59563643,11.60885065
0.0006,-35.42851021,11.60885065
0.0008,-35.3909128,11.98560848
0.001,-29.96513644,12.73912414
0.0012,-27.38266429,13.11588197
0.0014,-31.42438595,13.4926398
0.0016,-36.55173286,14.24615546
0.0018,-37.7853979,14.24615546
0.002,-39.65586909,14.62291329
0.0022,-43.39916131,14.24615546
0.0024,-48.1505341,14.24615546
0.0026,-52.56588004,14.62291329
0.0028,-53.16508878,14.24615546
0.003,-52.56588004,14.24615546
0.0032,-54.51154605,14.24615546
0.0034,-53.61390787,13.4926398
0.0036,-47.55132537,13.11588197
0.0038,-41.37830047,12.73912414
0.004,-35.68934225,12.36236631
0.0042,-28.20745749,11.98560848
0.0044,-19.75038989,11.60885065
0.0046,-10.17009963,11.60885065
0.0048,-0.890588669,11.23209282
0.005,6.6288935,10.47857716
0.0052,14.15072551,10.10181933
0.0054,21.67255751,9.371851031
0.0056,27.54715296,8.9950932
0.0058,31.40088757,8.61833537
0.006,35.329817,8.24157754
0.0062,39.22114903,7.488061879
0.0064,41.91641342,7.111304048
0.0066,43.18767587,6.357788388
0.0068,44.57173056,6.357788388
0.007,46.70538362,5.604272727
0.0072,49.09986873,5.604272727
0.0074,51.23352179,5.227514897
0.0076,52.99120075,5.227514897
0.0078,54.45045026,4.4975466
0.008,55.75931012,4.4975466
0.0082,56.80733795,4.12078877
0.0084,57.78017096,3.744030939
0.0086,58.52976934,3.367273109
0.0088,59.20182305,3.367273109
0.009,59.76343438,3.367273109
0.0092,60.3250457,2.990515279
0.0094,60.73626738,2.990515279
0.0096,61.10989165,2.990515279
0.0098,61.37307353,2.613757448
0.01,61.67150298,2.613757448
0.0102,61.85949003,2.990515279
0.0104,62.0850745,2.990515279
0.0106,62.2331143,2.990515279
0.0108,62.30830913,2.990515279
0.011,62.2331143,3.367273109
0.0112,62.30830913,2.990515279
0.0114,62.42110136,3.367273109
0.0116,61.29787871,3.367273109
0.0118,57.78017096,3.367273109
0.012,54.78647712,3.367273109
0.0122,53.36482502,4.12078877
0.0124,52.91600593,4.12078877
0.0126,52.01836774,3.744030939
0.0128,49.51109041,4.12078877
0.013,48.42546517,4.4975466
0.0132,47.11660531,4.4975466
0.0134,43.56130014,4.4975466
0.0136,40.94358041,4.4975466
0.0138,38.39870567,4.4975466
0.014,35.14182995,4.4975466
0.0142,31.55127721,4.874304431
0.0144,27.39676332,4.4975466
0.0146,22.00858437,4.4975466
0.0148,15.79796207,4.874304431
0.015,8.388922295,4.874304431
0.0152,0.305478963,4.4975466
0.0154,-7.141158223,4.4975466
0.0156,-13.83819703,4.4975466
