"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-62.7547783792,10.1018193271
0.0002,-65.8236670395,10.8553349879
0.0004,-67.6189434074,11.6088506486
0.0006,-68.8173608782,12.3623663094
0.0008,-68.3685417862,12.7391241398
0.001,-70.4645974409,12.7391241398
0.0012,-71.8486521277,12.3623663094
0.0014,-70.6126372461,12.7391241398
0.0016,-68.6293738239,13.1158819702
0.0018,-68.7797634673,13.1158819702
0.002,-67.8069304617,12.7391241398
0.0022,-65.5252375909,12.7391241398
0.0024,-65.5252375909,12.7391241398
0.0026,-66.834097456,12.3623663094
0.0028,-69.3413747918,11.985608479
0.003,-70.5397922626,11.6088506486
0.0032,-70.8006243003,11.2320928182
0.0034,-68.2181521428,10.8553349879
0.0036,-64.7380418013,10.4785771575
0.0038,-62.606738574,9.74860886112
0.004,-59.1642256433,8.99509320036
0.0042,-54.748879707,8.61833536997
0.0044,-51.0055874896,7.86481970921
0.0046,-46.6278389642,7.11130404845
0.0048,-39.3315914218,6.73454621807
0.005,-30.7993289978,6.35778838769
0.0052,-21.2965834064,5.9810305573
0.0054,-10.6306679168,5.60427272692
0.0056,0.218534950545,5.22751489654
0.0058,9.91161743441,4.49754660018
0.006,18.0679057499,4.1207887698
0.0062,24.8401393786,4.1207887698
0.0064,30.5666950182,3.74403093942
0.0066,35.3556652248,3.36727310903
0.0068,39.5078292851,3.36727310903
0.007,43.0631344483,3.36727310903
0.0072,46.056828287,2.99051527865
0.0074,48.4889108011,2.99051527865
0.0076,50.6977586883,2.61375744827
0.0078,52.5306324671,2.99051527865
0.008,54.0274793864,2.99051527865
0.0082,55.4115340732,2.99051527865
0.0084,56.5347567222,3.36727310903
0.0086,57.4699923171,3.74403093942
0.0088,58.3300330902,3.74403093942
0.009,58.9668392364,4.1207887698
0.0092,59.6036453826,4.49754660018
0.0094,60.1629068689,4.49754660018
0.0096,60.6117259609,4.49754660018
0.0098,60.9877000694,5.22751489654
0.01,61.3237269288,5.60427272692
0.0102,61.5845589666,5.60427272692
0.0104,61.7725460208,5.9810305573
0.0106,61.960533075,6.73454621807
0.0108,62.1837677019,7.11130404845
0.011,62.3341573453,7.48806187883
0.0112,62.409352167,8.24157753959
0.0114,62.5597418104,8.61833536997
0.0116,62.6325867939,8.99509320036
0.0118,62.7077816156,8.99509320036
0.012,62.8205738481,9.74860886112
0.0122,62.5597418104,10.1018193271
0.0124,60.1253094581,10.4785771575
0.0126,56.9083809925,10.4785771575
0.0128,53.9522845647,10.8553349879
0.013,48.0024942983,11.2320928182
0.0132,41.9399117993,11.6088506486
0.0134,35.2804704031,11.6088506486
0.0136,29.1802904932,11.6088506486
0.0138,22.2224196485,11.6088506486
0.014,15.5606284141,11.985608479
0.0142,9.2748112882,11.985608479
0.0144,3.84903493541,11.985608479
0.0146,-0.977532682009,11.6088506486
0.0148,-6.44090644564,11.6088506486
0.015,-10.4450307008,11.6088506486
0.0152,-13.9251410423,11.2320928182
0.0154,-17.2548617404,11.2320928182
0.0156,-20.3989452224,10.8553349879
0.0158,-22.4550536281,10.4785771575
0.016,-24.6263041045,10.4785771575
0.0162,-26.8351519917,10.1018193271
0.0164,-28.5176361271,9.37185103074
0.0166,-30.0896778681,8.99509320036
0.0168,-31.8473568252,8.61833536997
0.017,-33.7554254256,8.24157753959
0.0172,-35.2146749341,7.48806187883
0.0174,-37.5363150539,7.11130404845
0.0176,-39.2563966001,7.11130404845
0.0178,-40.6780486977,6.35778838769
0.018,-42.0268558119,5.60427272692
0.0182,-43.4485079095,5.22751489654
0.0184,-43.7845347689,4.87430443056
0.0186,-44.0453668067,4.49754660018
0.0188,-44.0453668067,4.1207887698
0.019,-42.8492991741,3.74403093942
0.0192,-41.4276470765,2.99051527865
0.0194,-39.6676182812,2.61375744827
0.0196,-36.8619114968,2.61375744827
0.0198,-32.8577872417,1.86024178751
0.02,-29.2672345058,1.48348395713
0.0202,-25.1127206073,1.10672612675
0.0204,-20.3237504007,1.10672612675
0.0206,-15.1588060857,0.353210465983
0.0208,-10.3322384683,0
0.021,-5.46807343999,0
0.0212,-0.267881552281,0
0.0214,4.44824367078,0
0.0216,8.45236792593,0
0.0218,11.6692963915,0
0.022,14.2141711382,0
0.0222,15.2997963763,0
0.0224,15.82381029,0
0.0226,15.5606284141,0
0.0228,14.7757824627,0
0.023,14.5126005867,0
0.0232,13.5773649919,0
0.0234,12.6045319863,0
0.0236,11.7068938023,0
0.0238,10.658865975,0
0.024,9.12442164481,0
0.0242,7.92835401226,0
0.0244,6.9555210066,0
0.0246,6.20592262785,0
0.0248,5.38347926558,0
0.025,4.89706276276,0
0.0252,5.1578948005,0
0.0254,5.08504981699,0
0.0256,4.41064625993,0
0.0258,3.40021584343,0
0.026,1.94096633495,0
0.0262,0.218534950545,0
0.0264,-1.83757345512,0
0.0266,-4.42004561264,0
0.0268,-7.07771259185,0
0.027,-9.54739251683,0
0.0272,-12.8771132149,0
0.0274,-16.6180555942,0
0.0276,-20.4365426333,0
0.0278,-24.5511092828,0
0.028,-29.3400794893,0
0.0282,-33.5697882096,0
0.0284,-37.1603409454,0
0.0286,-40.5300088925,0
0.0288,-43.4109104986,0
0.029,-45.7677981911,0
0.0292,-47.5254771482,0
0.0294,-49.0223240675,0
0.0296,-50.4087285924,0
0.0298,-51.2311719547,0
0.03,-51.3063667764,0
0.0302,-51.0431849005,0
0.0304,-50.5567683977,0
0.0306,-49.3982981759,0
0.0308,-48.0494910618,0
0.031,-46.665436375,0
0.0312,-45.6550059585,0
0.0314,-44.6821729529,0
0.0316,-43.4109104986,0
0.0318,-42.5508697255,0
0.032,-42.2124930279,0
0.0322,-41.7636739359,0
0.0324,-41.0540228062,0
0.0326,-40.3044244274,0
0.0328,-39.1083567949,0
0.033,-38.9955645624,0
0.0332,-38.5091480595,0
0.0334,-37.3107305888,0
0.0336,-36.5258846374,0
0.0338,-35.8138836695,0
0.034,-34.803453253,0
0.0342,-33.0833717067,0
0.0344,-31.1001082846,0
0.0346,-29.0416500407,0
0.0348,-26.8351519917,0
0.035,-23.841458153,0
0.0352,-21.1085963521,0
0.0354,-18.6389164272,0
0.0356,-15.8332096427,0
0.0358,-12.7267235715,0
0.036,-9.73302973289,0
0.0362,-6.81453071593,0
0.0364,-3.59760225037,0
0.0366,-0.378323946643,0
0.0368,2.95139675145,0
0.037,5.83229835756,0
0.0372,8.52756274762,0
0.0374,10.9220478509,0
0.0376,13.0157536674,0
0.0378,14.700587641,0
0.038,16.1974345603,0
0.0382,17.6566840688,0
0.0384,18.8527517013,0
0.0386,19.9759743504,0
0.0388,20.948807356,0
0.039,21.9968351834,0
0.0392,22.4456542754,0
0.0394,22.5584465079,0
0.0396,23.0072655999,0
0.0398,23.418487281,0
0.04,23.6440717461,0
0.0402,24.2785280541,0
0.0404,25.1409186654,0
0.0406,25.9257646168,0
0.0408,26.78580539,0
0.041,27.6857934121,0
0.0412,28.5834315961,0
0.0414,29.3306801366,0
0.0416,29.929888872,0
0.0418,30.6771374126,0
0.042,31.4267357913,0
0.0422,32.1739843319,0
0.0424,32.7731930673,0
0.0426,33.2220121592,0
0.0428,33.522791446,0
0.043,33.6332338404,0
0.0432,33.3724018026,0
0.0434,32.8859852998,0
0.0436,32.4747636187,0
0.0438,31.7627626508,0
0.044,31.053111521,0
0.0442,30.5290976074,0
0.0444,30.0426811045,0
0.0446,29.3682775475,0
0.0448,28.6938739904,0
0.045,28.0594176824,0
0.0452,27.6105985904,0
0.0454,27.4226115362,0
0.0456,27.1970270711,0
0.0458,27.011389855,0
0.046,27.1617794984,0
0.0462,27.3474167145,0
0.0464,27.460208947,0
0.0466,27.4226115362,0
0.0468,27.4226115362,0
0.047,27.3474167145,0
0.0472,26.8985976225,0
0.0474,26.6001681739,0
0.0476,26.4497785305,0
0.0478,25.8129723843,0
0.048,24.5793073409,0
0.0482,23.3432924593,0
0.0484,21.9592377725,0
0.0486,20.3495986207,0
0.0488,18.6295170744,0
0.049,16.8342407065,0
0.0492,14.9990170896,0
0.0494,13.2413381325,0
0.0496,11.1828798887,0
0.0498,9.12442164481,0
0.05,7.0307158283,0
0.0502,4.82186794106,0
0.0504,2.46498024862,0
0.0506,0.256132361392,0
0.0508,-1.50154659568,0
0.051,-3.3720177853,0
0.0512,-5.28008638576,0
0.0514,-7.18815498622,0
0.0516,-8.98578119231,0
0.0518,-10.8562523819,0
0.052,-13.0275028583,0
0.0522,-15.0107662805,0
0.0524,-17.0668746861,0
0.0526,-18.9772931248,0
0.0528,-20.8101669035,0
0.053,-22.6806380932,0
0.0532,-24.5135118719,0
0.0534,-26.3463856507,0
0.0536,-28.4048438945,0
0.0538,-30.4257047275,0
0.054,-32.1481361119,0
0.0542,-33.6825804421,0
0.0544,-35.3274671666,0
0.0546,-36.9747037294,0
0.0548,-38.2835635945,0
0.055,-39.2939940109,0
0.0552,-40.3044244274,0
0.0554,-41.2020626114,0
0.0556,-41.7636739359,0
0.0558,-42.0268558119,0
0.056,-42.1748956171,0
0.0562,-42.0997007954,0
0.0564,-41.8012713468,0
0.0566,-41.3524522548,0
0.0568,-40.7908409303,0
0.057,-40.0435923897,0
0.0572,-39.1436043676,0
0.0574,-37.9099393242,0
0.0576,-36.7115218534,0
0.0578,-35.47785681,0
0.058,-34.1313995341,0
0.0582,-32.7449950091,0
0.0584,-31.5489273766,0
0.0586,-30.2400675115,0
0.0588,-28.9288578082,0
0.059,-27.5824005323,0
0.0592,-26.1607484346,0
0.0594,-24.5887066936,0
0.0596,-22.9414701309,0
0.0598,-21.3341808172,0
0.06,-19.9501261304,0
0.0602,-18.5261241946,0
0.0604,-17.0292772753,0
0.0606,-15.3843905508,0
0.0608,-13.6243617555,0
0.061,-11.8290853876,0
0.0612,-9.95861419797,0
0.0614,-7.90015595412,0
0.0616,-5.87929512112,0
0.0618,-4.00882393151,0
0.062,-2.02556050936,0
0.0622,-0.0798944980488,0
0.0624,1.75297928072,0
0.0626,3.62345047033,0
0.0628,5.49627149812,0
0.063,7.32914527689,0
0.0632,8.9763818396,0
0.0634,10.3604365264,0
0.0636,11.5941015698,0
0.0638,12.7925190405,0
0.064,13.6901572245,0
0.0642,14.4750031759,0
0.0644,15.2621989655,0
0.0646,16.0846423278,0
0.0648,16.7966432957,0
0.065,17.2830597985,0
0.0652,17.8070737122,0
0.0654,18.4039326094,0
0.0656,18.8903491122,0
0.0658,19.4143630259,0
0.066,20.2015588155,0
0.0662,21.0991969994,0
0.0664,21.9216403617,0
0.0666,22.7088361513,0
0.0668,23.5312795136,0
0.067,24.3913202867,0
0.0672,25.1033212546,0
0.0674,25.7753749735,0
0.0676,26.6377655847,0
0.0678,27.4978063579,0
0.068,28.1346125041,0
0.0682,28.5834315961,0
0.0684,29.032250688,0
0.0686,29.3306801366,0
0.0688,29.4434723692,0
0.069,29.1802904932,0
0.0692,28.8818610446,0
0.0694,28.806666223,0
0.0696,28.5834315961,0
0.0698,28.357847131,0
0.07,28.2826523093,0
0.0702,28.0218202715,0
0.0704,27.7586383956,0
0.0706,27.460208947,0
0.0708,27.1241820876,0
0.071,26.8985976225,0
0.0712,26.78580539,0
0.0714,26.5625707631,0
0.0716,26.336986298,0
0.0718,26.3745837088,0
0.072,26.1889464928,0
0.0722,25.7753749735,0
0.0724,25.2513610598,0
0.0726,24.5417099301,0
0.0728,23.9049037838,0
0.073,22.8192785456,0
0.0732,21.5856135022,0
0.0734,20.3495986207,0
0.0736,18.8527517013,0
0.0738,17.170267566,0
0.074,15.4854335924,0
0.0742,13.802949457,0
0.0744,11.8196860349,0
0.0746,9.83642261272,0
0.0748,7.81556177972,0
0.075,5.83229835756,0
0.0752,4.03702198964,0
0.0754,1.94096633495,0
0.0756,0.0704951453372,0
0.0758,-1.65193623907,0
0.076,-3.3720177853,0
0.0762,-4.98165693716,0
0.0764,-6.44090644564,0
0.0766,-7.90015595412,0
0.0768,-9.43460028429,0
0.077,-10.9314472036,0
0.0772,-12.4282941229,0
0.0774,-13.7747513989,0
0.0776,-15.1212086748,0
0.0778,-16.655653005,0
0.078,-18.0773051026,0
0.0782,-19.4637096276,0
0.0784,-20.8477643144,0
0.0786,-22.269416412,0
0.0788,-23.6910685097,0
0.079,-25.187915429,0
0.0792,-26.6095675266,0
0.0794,-27.84323257,0
0.0796,-28.9288578082,0
0.0798,-29.864093403,0
0.08,-30.6888866035,0
0.0802,-31.436135144,0
0.0804,-31.9601490577,0
