"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-68.8925556999,10.1018193271
0.0002,-70.3518052083,10.4785771575
0.0004,-72.3726660413,10.4785771575
0.0006,-74.0551501767,10.4785771575
0.0008,-74.8047485555,10.4785771575
0.001,-73.794318139,10.4785771575
0.0012,-73.531136263,10.8553349879
0.0014,-72.1470815763,10.8553349879
0.0016,-70.5397922626,10.8553349879
0.0018,-70.0886233324,10.4785771575
0.002,-69.9781809381,10.1018193271
0.0022,-69.4541670244,9.37185103074
0.0024,-68.2181521428,8.99509320036
0.0026,-66.0868489154,8.99509320036
0.0028,-61.4083211032,8.61833536997
0.003,-56.9177803452,8.24157753959
0.0032,-51.6423936358,7.48806187883
0.0034,-46.2918121048,7.11130404845
0.0036,-40.7908409303,6.35778838769
0.0038,-34.4674263935,5.9810305573
0.004,-26.9455943861,5.60427272692
0.0042,-18.0773051026,4.87430443056
0.0044,-8.42416986779,4.49754660018
0.0046,1.82817410241,4.49754660018
0.0048,11.2956721212,3.74403093942
0.005,19.191128399,2.99051527865
0.0052,25.8129723843,2.99051527865
0.0054,31.3891383805,2.61375744827
0.0056,36.1029137654,2.61375744827
0.0058,40.1070380205,2.61375744827
0.006,43.5495509511,2.23699961789
0.0062,46.4680499681,2.23699961789
0.0064,48.9001324822,1.86024178751
0.0066,51.0337855478,1.86024178751
0.0068,52.7914645048,1.86024178751
0.007,54.2883114242,1.86024178751
0.0072,55.5995211274,2.23699961789
0.0074,56.7203939383,2.23699961789
0.0076,57.6556295331,2.23699961789
0.0078,58.4428253227,2.23699961789
0.008,59.1172288798,2.61375744827
0.0082,59.714087777,2.61375744827
0.0084,60.2756991015,2.99051527865
0.0086,60.6869207826,3.36727310903
0.0088,61.0628948911,3.74403093942
0.009,61.3613243397,4.1207887698
0.0092,61.6597537883,4.49754660018
0.0094,61.8101434316,4.49754660018
0.0096,62.0733253076,4.87430443056
0.0098,62.2213651128,5.60427272692
0.01,62.3717547562,5.9810305573
0.0102,62.2965599345,6.35778838769
0.0104,61.286129518,7.11130404845
0.0106,59.6764903661,7.48806187883
0.0108,57.7684217656,7.86481970921
0.011,54.4762984784,8.24157753959
0.0112,51.4074098181,8.61833536997
0.0114,47.3304405794,8.99509320036
0.0116,42.689510178,9.37185103074
0.0118,37.3013312361,9.74860886112
0.012,31.9883471158,10.1018193271
0.0122,25.888167206,10.4785771575
0.0124,19.4143630259,10.4785771575
0.0126,13.2789355433,10.4785771575
0.0128,6.84272877406,10.4785771575
0.013,1.04332815099,10.8553349879
0.0132,-4.3824482018,10.8553349879
0.0134,-8.98578119231,10.8553349879
0.0136,-13.6243617555,10.4785771575
0.0138,-17.4428487946,10.4785771575
0.014,-20.4365426333,10.4785771575
0.0142,-22.6430406823,10.4785771575
0.0144,-24.2150824233,10.1018193271
0.0146,-25.1503180181,9.74860886112
0.0148,-24.7766937478,9.37185103074
0.015,-24.1398876016,8.99509320036
0.0152,-22.7558329148,8.61833536997
0.0154,-20.7349720818,8.24157753959
0.0156,-18.2652921569,7.86481970921
0.0158,-16.1692365022,7.11130404845
0.016,-14.0379332748,6.73454621807
0.0162,-11.3802662956,6.35778838769
0.0164,-8.64975433287,5.60427272692
0.0166,-5.95448994281,5.22751489654
0.0168,-3.59760225037,4.87430443056
0.017,-1.16551973624,4.49754660018
0.0172,0.704951453372,3.74403093942
0.0174,2.72581228637,3.36727310903
0.0176,4.26025661654,2.99051527865
0.0178,5.45867408728,2.61375744827
0.018,6.168325217,1.86024178751
0.0182,6.9555210066,1.48348395713
0.0184,8.22678346085,1.48348395713
0.0186,9.79882520187,0.729968296364
0.0188,11.1828798887,0.729968296364
0.019,12.7173242188,0.353210465983
0.0192,14.4021581924,0
0.0194,15.7862128792,0
0.0196,17.0198779226,0
0.0198,18.3310876258,0
0.02,19.4143630259,0
0.0202,20.4623908532,0
0.0204,21.6232109131,0
0.0206,22.3704594537,0
0.0208,22.1096274159,0
0.021,21.0991969994,0
0.0212,19.9759743504,0
0.0214,18.0679057499,0
0.0216,15.1118093221,0
0.0218,11.7068938023,0
0.022,8.93878442876,0
0.0222,6.2435200387,0
0.0224,3.51300807597,0
0.0226,0.180937539699,0
0.0228,-3.67279707207,0
0.023,-7.22575239706,0
0.0232,-10.1090038414,0
0.0234,-13.2507374852,0
0.0236,-16.4324183781,0
0.0238,-19.1629303408,0
0.024,-20.8477643144,0
0.0242,-22.3446112337,0
0.0244,-23.8038607422,0
0.0246,-25.0375257856,0
0.0248,-26.2359432563,0
0.025,-26.8703995644,0
0.0252,-27.394413478,0
0.0254,-27.7327901757,0
0.0256,-28.1816092676,0
0.0258,-28.8160655757,0
0.026,-29.678456187,0
0.0262,-30.5760943709,0
0.0264,-31.3233429115,0
0.0266,-32.333773328,0
0.0268,-33.456995977,0
0.027,-34.4298289827,0
0.0272,-34.9162454855,0
0.0274,-35.5154542209,0
0.0276,-36.6386768699,0
0.0278,-37.3107305888,0
0.028,-38.2835635945,0
0.0282,-39.7804105138,0
0.0284,-41.0540228062,0
0.0286,-41.6884791142,0
0.0288,-42.0644532227,0
0.029,-42.0268558119,0
0.0292,-41.8764661685,0
0.0294,-41.4652444873,0
0.0296,-40.6780486977,0
0.0298,-39.8932027463,0
0.03,-39.7052156921,0
0.0302,-39.7804105138,0
0.0304,-39.4067862435,0
0.0306,-38.6947852756,0
0.0308,-37.6843548591,0
0.031,-36.6386768699,0
0.0312,-35.3650645775,0
0.0314,-34.6178160369,0
0.0316,-34.3170367501,0
0.0318,-34.3922315718,0
0.032,-34.7658558421,0
0.0322,-34.8786480747,0
0.0324,-35.252272345,0
0.0326,-35.5154542209,0
0.0328,-35.5154542209,0
0.033,-34.9538428964,0
0.0332,-34.354634161,0
0.0334,-34.5050238044,0
0.0336,-34.6178160369,0
0.0338,-34.5802186261,0
0.034,-34.1689969449,0
0.0342,-33.4945933879,0
0.0344,-32.1105387011,0
0.0346,-30.1272752789,0
0.0348,-28.1440118568,0
0.035,-25.7495267535,0
0.0352,-22.9414701309,0
0.0354,-20.2861529899,0
