"Latest: Time (s)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0,-53.4611683855,10.0547245983
0.0002,-47.6617677625,10.4314824287
0.0004,-46.1273234323,11.1849980894
0.0006,-39.9167011281,11.5617559198
0.0008,-30.4492031093,11.9385137502
0.001,-27.2698720546,12.3152715806
0.0012,-24.01299634,12.692029411
0.0014,-18.2887905386,13.0687872414
0.0016,-13.6854575481,13.0687872414
0.0018,-8.97168216325,13.4455450717
0.002,-7.32444560053,13.4455450717
0.0022,-7.77326469251,13.8223029021
0.0024,-10.6917637095,13.8223029021
0.0026,-12.376597683,14.1990607325
0.0028,-14.171874051,14.1990607325
0.003,-20.9817050905,13.8223029021
0.0032,-26.033857173,13.4455450717
0.0034,-30.4868005202,13.4455450717
0.0036,-36.9230072894,13.0687872414
0.0038,-40.4407150418,13.0687872414
0.004,-41.7495749069,12.692029411
0.0042,-45.8288939837,12.3152715806
0.0044,-49.4217965577,11.9385137502
0.0046,-47.4385331356,11.5617559198
0.0048,-43.8832279724,11.1849980894
0.005,-41.8623671394,10.4314824287
0.0052,-35.7245898187,10.0547245983
0.0054,-27.7186911466,9.32475630194
0.0056,-21.6561086476,8.94799847156
0.0058,-14.4726533377,8.57124064118
0.006,-3.80673784821,8.1944828108
0.0062,5.95918961917,7.44096715003
0.0064,13.1802423399,7.06420931965
0.0066,20.7020743474,6.31069365889
0.0068,27.2111261002,5.93393582851
0.007,32.4888626477,5.55717799813
0.0072,37.0522483892,4.82720970176
0.0074,40.9811778227,4.45045187138
0.0076,43.7892344453,4.45045187138
0.0078,46.519746408,3.69693621062
0.008,48.8766341005,3.32017838024
0.0082,47.7557612896,3.32017838024
0.0084,46.9685655,2.94342054985
0.0086,48.3902175976,2.56666271947
0.0088,46.2213169594,2.18990488909
0.009,43.6764422127,1.81314705871
0.0092,43.5260525694,1.81314705871
0.0094,43.3028179425,1.43638922833
0.0096,41.4675943255,1.05963139795
0.0098,40.0459422279,1.05963139795
0.01,43.1900257099,1.05963139795
0.0102,46.2213169594,0.682873567566
0.0104,48.5782046519,0.682873567566
0.0106,50.8598975226,0.306115737185
0.0108,52.6951211395,-0.0470947287977
0.011,54.2648130424,-0.0470947287977
0.0112,55.6136201565,-0.0470947287977
0.0114,56.6968955565,-0.0470947287977
0.0116,57.6321311513,0.306115737185
0.0118,58.4569243518,0.306115737185
0.012,59.093730498,0.306115737185
0.0122,59.6905893952,0.306115737185
0.0124,60.2897981305,0.306115737185
