"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
-0.02,,,,0.00648505578283,0
-0.0198,,,,-0.0281019083923,0
-0.0196,,,,0.00648505578283,0
-0.0194,,,,0.00648505578283,0
-0.0192,,,,-0.0281019083923,0
-0.019,,,,0.0410720199579,0
-0.0188,,,,0.00648505578283,0
-0.0186,,,,-0.0281019083923,0
-0.0184,,,,0.0410720199579,0
-0.0182,,,,0.00648505578283,0
-0.018,,,,-0.0281019083923,0
-0.0178,,,,0.00648505578283,0
-0.0176,,,,0.00648505578283,0
-0.0174,,,,-0.0281019083923,0
-0.0172,,,,0.00648505578283,0
-0.017,,,,0.00648505578283,0
-0.0168,,,,-0.0281019083923,0
-0.0166,,,,-0.0281019083923,0
-0.0164,,,,0.00648505578283,0
-0.0162,,,,-0.0281019083923,0
-0.016,,,,-0.0281019083923,0
-0.0158,,,,-0.0281019083923,0
-0.0156,,,,-0.0281019083923,0
-0.0154,,,,-0.0281019083923,0
-0.0152,,,,0.00648505578283,0
-0.015,,,,-0.0281019083923,0
-0.0148,,,,-0.0281019083923,0
-0.0146,,,,0.00648505578283,0
-0.0144,,,,-0.0281019083923,0
-0.0142,,,,0.0410720199579,0
-0.014,,,,0.00648505578283,0
-0.0138,,,,-0.0281019083923,0
-0.0136,,,,0.0410720199579,0
-0.0134,,,,-0.0281019083923,0
-0.0132,,,,-0.0281019083923,0
-0.013,,,,0.00648505578283,0
-0.0128,,,,0.00648505578283,0
-0.0126,,,,0.00648505578283,0
-0.0124,,,,0.00648505578283,0
-0.0122,,,,0.0410720199579,0
-0.012,,,,0.00648505578283,0
-0.0118,,,,0.00648505578283,0
-0.0116,,,,0.00648505578283,0
-0.0114,,,,0.00648505578283,0
-0.0112,,,,-0.0281019083923,0
-0.011,,,,0.00648505578283,0
-0.0108,,,,0.00648505578283,0
-0.0106,,,,0.00648505578283,0
-0.0104,,,,0.00648505578283,0
-0.0102,,,,0.00648505578283,0
-0.01,,,,0.00648505578283,0
-0.0098,,,,0.00648505578283,0
-0.0096,,,,-0.0281019083923,0
-0.0094,,,,0.0410720199579,0
-0.0092,,,,0.00648505578283,0
-0.009,,,,-0.0281019083923,0
-0.0088,,,,-0.0281019083923,0
-0.0086,,,,0.00648505578283,0
-0.0084,,,,-0.0281019083923,0
-0.0082,,,,-0.0281019083923,0
-0.008,,,,-0.0281019083923,-0.376757830381
-0.0078,,,,-0.0281019083923,0
-0.0076,,,,0.00648505578283,0
-0.0074,,,,0.00648505578283,0
-0.0072,,,,-0.0281019083923,0
-0.007,,,,0.00648505578283,0
-0.0068,,,,0.00648505578283,0
-0.0066,,,,-0.0281019083923,0
-0.0064,,,,-0.0281019083923,0
-0.0062,,,,0.00648505578283,0
-0.006,,,,-0.0281019083923,0
-0.0058,,,,0.00648505578283,0
-0.0056,,,,0.00648505578283,-0.376757830381
-0.0054,,,,-0.0281019083923,0
-0.0052,,,,-0.0281019083923,0
